Provider,Service,Counties Served,Phone,Email,Website/URL,Street,City,State,Zip
"Chattanooga Area Chamber of 
Commerce",,,(423)756-2121,,chattanoogachamber.com,811 Broad St #100,Chattanooga,TN,37402
Chattanooga Area Veterans Council,,,(423)364-5560,chattareaveterans@outlook.com,chattareaveterans.com,,,,
Chattanooga City Council,,,(423)643-7170,,chattanooga.gov,1000 Lindsay St,Chattanooga,TN,37402
Chattanooga Community Kitchen,Food,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)756-4222,kitchen@homelesschattanooga.org,homelesschattanooga.org,727 E. 11th St,Chattanooga,TN,37403
Chattanooga Food Band,Food,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, Murray, Whitfield, 
Dekalb, Jackson",(423)622-1800,,chattfoodbank.ort,2009 Curtain Pole Rd,Chattanooga,TN,37406
Chattanooga Furniture Bank,,,(423)629-2501,youmatter@goodwillchatt.org,goodwillchatt.org,3321 Dodds Ave,Chattanooga,TN,37407
Chattanooga Housing Authority (CHA),Housing ,Hamilton,(423)752-4865,,,801 N Holtzclaw Ave,Chattanooga,TN,37404
Chattanooga National Cemetery,Memorial and Burial Benefits,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, Murray, Whitfield, 
Dekalb, Jackson",(423)855-6590,,cem.va.gov,1200 Bailey Ave,Chattanooga,TN,37404
Chattanooga Outpatient VA Clinic,"Health Care, Housing","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker",(423)893-6500,,va.gov/tennessee-valley-health-care,6401 Shallowford Rd,Chattanooga,TN,37421
Chattanooga Police Department,,,(423)643-5000,,chattanooga.gov/police-department,3410 Amnicola Hwy,Chattanooga,TN,37406
"Chattanooga Regional Homeless 
Coalition","Employment, Housing","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)710-1501,,homelesscoalition.org,600 N Holtzclaw Ave,Chattanooga,TN,37404
"Chattanooga State Community 
College Veterans Affairs Office","Advocacy, Benefits, Education","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, Murray, Whitfield",(423)697-2509,,"chattanoogastate, edu/student-
support/outreach-programs/ 
veterans-affairs",,,,
Chattanooga Times Free Press,,,(423)756-6900,,timesfreepress.com,,,,
Chattanooga Veterans Benefits Office,"Benefits, Health Care","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)634-6488,,benefits.va.gov/benefits,,,,
Chattanooga Zoo,,,(423)697-1322,info@chattzoo.org,chattzoo.org,301 N Holtzclaw Ave,Chattanooga,TN,37404
City of Chattanooga,,,,,chattanooga.gov ,,,,
Congressman Fleischmann\'s Office,,,(423)756-2342,,fleischmann.house.gov,900 Georgia Ave Suite 126,Chattanooga,TN,37402
Demaria\'s Home Improvements ,,,,demariahomeimprovement@yahoo.com,"facebook.com/people/DeMarias-
Maintenance-Improvements",,,,
Department of Veterans Affairs,,,(800)698-2411,,va.gov ,,,,
Disability Solutions Inc. ,"Advocacy, Benefits","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)473-6720,info@dsil.org,dsil.org,119 S Palmetto Ave Suite 180,Daytona Beach,FL,32114
"Epilepsy Foundation Southeast 
Tennessee","Advocacy, Health Care","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, Catoosa, 
Dade, Walker, Dekalb, Jackson",(423)634-1771,info@epilepsy-setn.org,epilepsy-setn.org,P.O. Box 4782,Chattanooga,TN,37405
Erlanger Medical Center,Health Care,,(423)778-7000,,erlanger.org,975 E 3rd St,Chattanooga,TN,37403
Family Promise,,,(423)650-4106,familypromisebradleycounty@gmail.com,familypromisebradleytn.org,,,,
"Fort Patriot Place (Buffalo Valley) 
Transitional Housing Program",Housing,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)893-6500,info@buffalovalley.org,buffalovalley.org,501 Park Avenue South,Hohenwald,TN,38462
Friends of the Festival,,,,,riverbendfestival.com,,,,
"Get Veterans Heartland Ranch Involved 
(GVI)",,,,,getvetsinvolved.org,,,,
Girls Preparatory School (GPS),,,(423)634-7600,,gps.edu,205 Island Ave,Chattanooga,TN,37405
Goodwill Industries,"Clothing, Employment, Health 
Care","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)629-2501,info@goodwillchatt.org,goodwillchatt.org,6104 Preservation Dr,Chattanooga,TN,37416
"Habitat for Humanity of Greater 
Chattanooga",,,(423)756-0507,office@habichatt.org,habichatt.org,1201 East Main St,Chattanooga,TN,37408
Hamilton County Health Department,Health Care,Hamilton,(423)209-8010,,health.hamiltontn.org,921 East 3rd St,Chattanooga,TN,37403
Hamilton Funeral Home,Memorial and Burial Benefits,,(423)531-3975 ,hamilton.funeral@gmail.com,hamiltonfuneraloptions.com,4506 Hixson Pike,Hixson,TN,37343
Hamilton Relay,,,(800)618-4781,info@hamiltonrelay.com,hamiltonrelay.com,,,,
Helen Ross McNabb,,,(423)266-6751,,mcnabbcenter.org,6049 Shallowford Rd,Chattanooga,TN,37421
Home Depot,,,(423)499-1959,,homedepot.com,7421 Commons Blvd,Chattanooga,TN,37421
"Home Health Care of East Tennessee 
Inc. and Hospice",Health Care,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)855-5797,,adorationhealth.com,,,,
Homeless Veterans Task Force,,,(800)433-3318,,legion.org,,,,
Honoring the Sacrifice,,,,,honoringthesacrifice.com,4700 Cummings Cove Dr,Chattanooga,TN,37419
Hospice of Chattanooga,Health Care,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker",(423)892-4289,,hospiceofchattanooga.org,2030 Hamilton Place Blvd Suite 220,Chattanooga,TN,37421
IUPAT,,,(678)705-5668,,iupat.org,,,,
John Calvin Apartments,Housing,,,info@apartmentsmart.com,affordablehousingonline.com,364 Northgate Dr,Hixson,TN,37343
Johnson Mental Health,Health Care,,(423)634-8884,,vbhcs.org,420 Bell Ave ,Chattanooga,TN,37405
Medal of Honor Museum,Education,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, Murray, Whitfield, 
Dekalb, Jackson",(423)877-2525,,mohhc.org,2 W Aquarium Way Suite 104,Chattanooga,TN,37402
Merrill Lynch,,,(423)756-7070,,local.ml.com,,,,
"Military Officers Association of America 
(MOAA)",,,(800)234-6622,msc@moaa.org,moaa.org,,,,
Mobility Works,Transportation,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)308-8267,,mobilityworks.com,3614 Elwood Lane ,Chattanooga,TN,37416
News Channel 9,,,(423)756-5500,,newschannel9.com,4279 Benton Dr,Chattanooga,TN,37406
Papercut Interactive,,,(423)648-7773,,papercutinteractive.com,P.O. Box 4308,Chattanooga,TN,37405
Parkridge Medical Center,Health Care,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)698-6061,,parkridgehealth.com,2333 McCallie Ave,Chattanooga,TN,37404
"Partnership for Families, Children & 
Adults","Advocacy, Clothing, Food, 
Housing, Utility Assistance","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)755-2822,info@partnershipfca.com,partnershipfca.com,5600 Brainerd Rd Suite E-3,Chattanooga,TN,37411
Platinum Financial Funding,,,(423)893-8156,,platinumfinancialfunding.com,6111 Shallowford Rd Suite 105,Chattanooga,TN,37421
Project Healing Waters Fly Fishing,Health Care,"Bledsoe, Bradley, Grundy,
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, Murray, Dekalb, 
Jackson",,,projecthealingwaters.org,,,,
Purple Heart,"Advocacy, Other","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Walker",(423)488-7398,communications@purpleheart.org,purpleheart.org,,,,
Regional Health (Department Offices), ,,,,tn.gov,,,,
"Regional Outreach Veterans 
Engagement Resources (R.O.V.E.R.)","Employment, Health Care, 
Other","Bledsoe, Bradley, Hamilton, 
Marion, McMinn, Meigs, Rhea, Sequatchie, Catoosa, Dade, Murray, Whitfield,",(423)762-6773,,rover.vet,,,,
Sea Cadets,Other,Hamilton,,info@seacadets.org,seacadets.org,,,,
"Service Corps of Retired Executives
(SCORE)","Advocacy, Education","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, Meigs, Polk, Rhea, Sequatchie ",(423)553-1722,chattanoog.score@gmail.com,chattanooga.score.org,5726 Marlin Rd #515,Chattanooga,TN,37411
Signal Centers,Health Care,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)629-4174,info@signalcenters.org,signalcenters.org,109 North Germantown Rd,Chattanooga,TN,37411
"Siskin Hospital for Physical 
Rehabilitation",Health Care,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)634-1200,info@siskinrehab.org,siskinrehab.org,,,,
Social Security Administration,,,(800)772-1213,,ssa.gov,,,,
Southeast Regional Health Offices,Health Care,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Polk, Rhea, Sequatchie, 
Catoosa, Dade, Walker, 
Whitfield, Murray",(423)634-3142,tn.health@tn.gov,apps.health.tn.gov,,,,
"Southeast Regional Mobility 
Management ""Be Mobile"" 
Transportation Program",Transportation,,(423)698-9038,,gocarta.org,1617 Wilcox Blvd,Chattanooga,TN,37406
"Southeast Tennessee Area Agency on 
Aging and Disibility","Advocacy, Health Care","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, ",(866)836-6678,,setaaad.org,1000 Riverfront Parkway,Chattanooga,TN,37402
"Southeast Tennessee Human Resource 
Agency (SETHRA)",Transportation,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker",(423)949-2191,info@sethra.us,sethra.us,312 Resource Rd,Dunlap,TN,37327
Tennessee Department of Health,Health Care,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie",(615)741-3111,tn.health@tn.gov,tn.gov/health,710 James Robertson Parkway,Nashville,TN,37243
"Tennessee Department of Labor & 
Workforce Development",Employment,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade",(423)643-2360,,tn.gov/workforce,220 French Landing Dr,Nashville,TN,37243
"Tennessee Department of Veterans 
Affairs","Advocacy, Benefits, 
Employment, Health Care, 
Housing, Memorial and Burial 
Benefits","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie",(800)827-1000,tn.veterans@tn.gov,state.tn.us/veteran,312 Rosa L. Parks Ave,Nashville,TN,37243
"Tennessee Department of Veterans 
Affairs Benefits",,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie",(615)741-2345,tn.veterans@tn.gov,tn.gov/veteran,312 Rosa L. Parks Ave,Nashville,TN,37243
Tennessee Heartwood,Other,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie",(423)877-4616,info@tennesseeheartwood.org,tennesseeheartwood.org,,,,
Tennessee National Guard,,,1-800=GO-GUARD,,nationalguard.com,,,,
"Tennessee Small Business 
Development Centers",Employment,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie",(423)756-8668,,tsbdc.org,100 Cherokee Blvd Suite202,Chattanooga,TN,37405
Tennessee State Veterans Home,Health Care,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Sequatchie",(615)898-1181,,tsvh.org,,,,
"Tennessee Valley Healthcare System, 
VA",Health Care,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie",(800)228-4973,,va.gov/tennessee-valley-health-care,,,,
"The Council for Alcohol and Drug Abuse 
Services (CADAS)",Health Care,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie",(423)756-7644,,cadas.org,207 Spears Ave,Chattanooga,TN,37405
The Salvation Army,"Advocacy, Clothing, Food, 
Housing, Utility Assistance","Bradley, Hamilton, Marion, 
Catoosa, Dade, Walker",(423)756-1023,,csarmy.org,,,,
U.S. Marines League,,,,,sediv.org,,,,
United Way of Greater Chattanooga,Education,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, Murray, Whitfield, 
Dekalb, Jackson",(423)752-0300,info@uwchatt.org,unitedwaycha.org,630 Market Street ,Chattanooga,TN,37402
United Way\'s 211 Call Resources,,,(423)265-8000,211@uww.unitedway.org,211.org,,,,
"University of Tennessee - Corporate 
Connections",,,(865)974-4109,,clee.utk.edu,600 Henley St Suite 312 ,Knoxville,TN,37996
University of Tennessee at Chattanooga,,,(423)425-4111,,utc.edu,615 McCallie Ave,Chattanooga,TN,37403
"University of Tennessee at 
Chattanooga Student Services",,,(423)425-5235,,"utc.edu/enrollment-management-
and-student-affairs/student-
support-services",739 McCallie Ave,Chattanooga,TN,37403
"University of Tennessee at 
Chattanooga Student Veterans
Organization","Advocacy, Education, Other","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, Meigs, 
Polk, Rhea, Sequatchie, 
Catoosa, Dade, Walker",(423)425-5667,,utcsvo.org,,,,
"U.S. Department of Veterans Affairs - 
VA Supportive Housing (VASH)",Housing,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, Murray, Whitfield, 
Dekalb, Jackson",(877)424-3838,,hud.gov,,,,
USS Carbonero Base,Advocacy,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, Dekalb, Jackson",(423)843-1590,asyler@epbfi.com,facebook.com/USS-Carbonero-Base,,,,
VA Life Insurance Center,Benefits ,Hamilton,(800)669-8477,,insurance.va.gov,,,,
VA National Call Center,Housing,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, ",(877)424-3838,,"va.gov/homeless/nationalcallcenter.
Asp",,,,
VA Supportive Housing (VASH),Housing,Hamilton,(423)893-6500,,hud.gov,,,,
VA Veteran Caregiver Support Line,Health Care,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, Murray, Whitfield, 
Dekalb, Jackson",(855)260-3274,,caregiver.va.gov,,,,
VA Epilepsy Center of Excellence,,,(800)698-2411,,epilepsy.va.gov,,,,
"Veritas Incare, LLC",,,,,veritashcg.com,,,,
Vet Force 1 ,Employment,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, Murray, Whitfield, 
Dekalb, Jackson",(202)822-0011,,vetforce.org,,,,
"Veteran Administration - Compensated
Work Therapy Program","Education, Employment","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie",(423)893-6500,,va.gov/health,,,,
"Veterans Administration - Healthcare 
for Homeless Veterans",,,(800)698-2411,,va.gov/homeless/hchv.asp,,,,
"Veterans Administration - OEF/OIF 
Case Manager","Advocacy, Education, 
Employment, Health Care, 
Housing, Memorial and Burial 
Benefits","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie",(423)315-2222,,va.gov/post911veterans,,,,
"Veterans Affairs - Chattanooga Vet 
Center",,,(800)698-2411,,"va.gov/find-locations?facilityType=
vet_center",,,,
Veterans Funeral Cars,,,(727)524-9202,,veteransfuneralcare.com,830 N Belcher Rd,Clearwater,FL,33765
Veterans Health Administration,"Employment, Health Care, 
Housing","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, Murray, Whitfield, 
Dekalb, Jackson",(423)893-6500,,va.gov,,,,
"Veterans Service Officer, NW Georgia",,,(404)656-2300,gavetsvc@vs.state.ga.us,veterans.geortia.gov,2 MLK Jr Dr SE,Atlanta,GA,30334
VetsBridge,,,,support@vetsbridge.com,facebook.com/VetsBridge,,,,
"Vietnam Veterans of America Chapter 
203",,,(423)991-5858,,vva203.org,P.O. Box 23405,Chattanooga,TN,37422
"Vietnam Veterans of America Chapter
942",,,(423)718-1735,info@vva942.com,vva942.com,9615 W Ridge Trail Rd,Soddy-Daisy,TN,37379
VFW 4848,Advocacy,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, Murray, Whitfield, 
Dekalb, Jackson",(423)624-6687,vfwpost4848@gmail.com,facebook.comvfwpost4848,,,,
Volunteer Behavioural Health,"Health Care, Housing","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, Murray, Whitfield, 
Dekalb, Jackson",(423)756-2740,,vbhcs.org,413 Spring St,Chattanooga,TN,37405
"Welcome Home of Chattanooga Young
Men\'s Christian Association","Housing, Other","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, Murray, Whitfield, 
Dekalb, Jackson",(423)486-4001,,welcomehomeofchattanooga.org,P.O. Box 4247,Chattanooga,TN,37405
